Commune,ZIP code,Index,Latitude,Longitude,Coordinates
Echchallalate,28822,0,33.56968640878232,-7.395306348809435,"33.56968640878232,-7.395306348809435"
Echchallalate,28822,1,33.64792053315948,-7.408108582535458,"33.64792053315948,-7.408108582535458"
Echchallalate,28822,2,33.61536594040621,-7.458959071198275,"33.61536594040621,-7.458959071198275"
Echchallalate,28822,3,33.62789799357488,-7.44403942378749,"33.62789799357488,-7.44403942378749"
Echchallalate,28822,4,33.60105039866384,-7.484442852640369,"33.60105039866384,-7.484442852640369"
Sidi Maarouf,20192,5,33.48569462458445,-7.633357283646167,"33.48569462458445,-7.633357283646167"
Sidi Maarouf,20192,6,33.52566603266665,-7.636924760146013,"33.52566603266665,-7.636924760146013"
Sidi Maarouf,20192,7,33.48716086847907,-7.641582183521106,"33.48716086847907,-7.641582183521106"
Sidi Maarouf,20192,8,33.48147210659073,-7.652317932191367,"33.48147210659073,-7.652317932191367"
Sidi Maarouf,20192,9,33.49835474797786,-7.650754644736764,"33.49835474797786,-7.650754644736764"
Anfa,20040,10,33.58362798256997,-7.641205434655191,"33.58362798256997,-7.641205434655191"
Anfa,20040,11,33.57318797230987,-7.706392033086802,"33.57318797230987,-7.706392033086802"
Anfa,20040,12,33.56900320433211,-7.685470614992624,"33.56900320433211,-7.685470614992624"
Anfa,20040,13,33.59001039834734,-7.653642054412161,"33.59001039834734,-7.653642054412161"
Anfa,20040,14,33.5863596041043,-7.672839658473646,"33.5863596041043,-7.672839658473646"
Assoukhour Assawda,20320,15,33.60744498126024,-7.594817038083934,"33.60744498126024,-7.594817038083934"
Assoukhour Assawda,20320,16,33.59975258522957,-7.598277515736249,"33.59975258522957,-7.598277515736249"
Assoukhour Assawda,20320,17,33.58691859602058,-7.598608381573141,"33.58691859602058,-7.598608381573141"
Assoukhour Assawda,20320,18,33.57004078302619,-7.586369622373369,"33.57004078302619,-7.586369622373369"
Assoukhour Assawda,20320,19,33.60065834643184,-7.586993050577685,"33.60065834643184,-7.586993050577685"
Ben Msick,20023,20,33.54280456391236,-7.592916865060728,"33.54280456391236,-7.592916865060728"
Ben Msick,20023,21,33.55127435043131,-7.58723626974825,"33.55127435043131,-7.58723626974825"
Ben Msick,20023,22,33.53989839731031,-7.576892643969408,"33.53989839731031,-7.576892643969408"
Ben Msick,20023,23,33.54279982987987,-7.585143142577575,"33.54279982987987,-7.585143142577575"
Ben Msick,20023,24,33.53628780602985,-7.583964839552067,"33.53628780602985,-7.583964839552067"
Bou Chentouf,20500,25,33.55263881331911,-7.598079673528729,"33.55263881331911,-7.598079673528729"
Bou Chentouf,20500,26,33.5612239916881,-7.602434066270029,"33.5612239916881,-7.602434066270029"
Bou Chentouf,20500,27,33.55110680622544,-7.606628807644618,"33.55110680622544,-7.606628807644618"
