Commune,ZIP code,Population size,Household,Density
Echchallalate,28822,153118.0,27433.0,10614.16015625
Sidi Maarouf,20192,30627.0,5711.5712890625,2149.23999023437
Anfa,20040,118056.8828125,22528.076171875,9013.130859375
Assoukhour Assawda,20320,120479.875,24751.125,35192.34765625
Ben Msick,20023,134933.8125,22787.908203125,18783.462890625
Bou Chentouf,20500,165442.671875,32743.0,17667.9140625
El Maarif,20390,184958.09375,36683.28515625,12646.759765625
Hay Hassani,20220,140728.03125,26403.5,7957.65087890625
Hay Mohammadi,20570,106843.21875,20434.333984375,10690.560546875
Ain Chock,20190,147945.0,24882.0,10875.9111328125
Ain Sebaa,20590,147102.609375,25559.923828125,16482.4140625
Al Fida,20520,155982.375,31322.0,35225.5
Al Idrissia,20450,109565.0,20423.0,41799.21875
Lissasfa,20232,44568.28515625,8215.7138671875,1176.2685546875
Mers Sultan,20550,128165.3359375,26510.666015625,12860.169921875
Moulay Rachid,20660,183195.0,29881.0,18268.130859375
Sidi Belyout,20000,175098.140625,37642.0,13853.3720703125
Sidi Moumen,20400,117839.0,19653.333984375,11900.1279296875
Sidi Othmane,20700,102278.0,17241.76953125,19805.888671875
Ahl Laghlam,29640,22926.0,3735.0,1950.40002441406
Sidi Bernoussi,20600,151863.90625,27067.908203125,10197.6416015624
Moulay Youssef,20060,88758.46875,17080.8828125,12660.2099609375
