Commune,ZIP code,N° of Primary roads,N° of Secondery roads,N° of Highways
Echchallalate,28822,6,2,22
Sidi Maarouf,20192,12,11,19
Anfa,20040,143,154,42
Assoukhour Assawda,20320,64,75,2
Ben Msick,20023,10,26,18
Bou Chentouf,20500,16,55,12
El Maarif,20390,111,131,25
Hay Hassani,20220,36,146,19
Hay Mohammadi,20570,31,25,7
Ain Chock,20190,49,39,0
Ain Sebaa,20590,91,49,49
Al Fida,20520,23,41,0
Al Idrissia,20450,18,40,9
Lissasfa,20232,15,4,24
Mers Sultan,20550,11,26,0
Moulay Rachid,20660,42,50,0
Sidi Belyout,20000,171,111,4
Sidi Moumen,20400,19,35,8
Sidi Othmane,20700,9,64,4
Ahl Laghlam,29640,13,0,5
Sidi Bernoussi,20600,21,27,29
Moulay Youssef,20060,59,38,20
