Commune,ZIP code,Region area (m²),Parking area (m²),Industrial area  (m²) ,Parks area  (m²),Residential area (m²),University/ Institution area (m²),Number of Commercial Buildings
Echchallalate,28822,68446680.65,39483.12,1123685.545,1313.57,785986.598999999,0.0,1
Sidi Maarouf,20192,24274975.85,15468.0,233905.17,60665.904,3099188.944,53626.466,5
Anfa,20040,18134837.18,30090.12,0.0,92624.311,14718123.784,57560.521,42
Assoukhour Assawda,20320,8653971.31,605.23,1580529.421,123746.788,5509130.989,0.0,4
Ben Msick,20023,3422170.95,0.0,0.0,17259.213,3135435.327,0.0,0
Bou Chentouf,20500,2293999.32,0.0,35844.27,75041.701,2071621.951,0.0,4
El Maarif,20390,12757122.57,22084.75,0.0,64576.391,11462060.663,37447.987,76
Hay Hassani,20220,15351330.37,108370.88,18249.936,341715.849,9544389.93299999,808420.069,37
Hay Mohammadi,20570,4523934.31,0.0,314153.645,0.0,3321449.503,0.0,0
Ain Chock,20190,11921014.52,3527.58,15608.93,10678.368,6967285.699,78479.44,1
Ain Sebaa,20590,22512645.04,68143.04,5780586.558,389388.738,12498937.353,41906.473,6
Al Fida,20520,1804727.91,12239.58,0.0,13596.129,1700396.645,0.0,7
Al Idrissia,20450,1793994.56,0.0,24591.837,63843.8,1215656.24,0.0,0
Lissasfa,20232,10720248.9,5666.63999999999,1200871.343,43904.964,4213421.311,2342.117,5
Mers Sultan,20550,2030724.27,0.0,0.0,110530.293,1720281.663,0.0,8
Moulay Rachid,20660,6029594.64,16981.53,39620.273,225576.288,4216629.007,0.0,1
Sidi Belyout,20000,8356614.6,16057.93,1243868.212,344758.326,6621364.61,3683.366,113
Sidi Moumen,20400,10503610.11,28609.64,88562.0419999999,76184.8749999999,6782944.71599999,0.0,1
Sidi Othmane,20700,7148627.18,0.0,14434.289,512919.556,3604387.507,11626.169,0
Ahl Laghlam,29640,10993811.75,0.0,140944.895,0.0,2083744.739,0.0,0
Sidi Bernoussi,20600,14310266.1,47605.37,4845999.239,207340.528,6288684.257,0.0,18
Moulay Youssef,20060,3599081.27,23493.08,168018.359,34024.515,2823842.576,0.0,4
