COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4, TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10, TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at  1,TTI (min) at  2,TTI (min) at  3,TTI (min) at  4,TTI (min) at  5,TTI (min) at  6,TTI (min) at  7,TTI (min) at  8,TTI (min) at  9,TTI (min) at  10,TTI (min) at  11,TTI (min) at  12,TTI (min) at  13,TTI (min) at  14,TTI (min) at  15,TTI (min) at  16,TTI (min) at  17,TTI (min) at 18,TTI (min) at  19,TTI (min) at  20,TTI (min) at  21,TTI (min) at  22,TTI (min) at  23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,12.583,12.583,12.583,10.2,10.2,10.2,10.2,10.2,10.2,10.1,10.15,10.033,10.183,10.2,10.2,10.233,10.2,10.333,10.3,10.45,10.217,10.283,10.25,10.2,1.26414841604715,1.26414841604715,1.26414841604715,1.02471368294153,1.02471368294153,1.02471368294153,1.02471368294153,1.02471368294153,1.02471368294153,1.01466747036367,1.0196905766526,1.00796999531176,1.02303931417855,1.02471368294153,1.02471368294153,1.02806242046748,1.02471368294153,1.03810863304534,1.03475989551938,1.04982921438617,1.0263880517045,1.03308552675641,1.02973678923046,1.02471368294153
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,13.267,13.267,13.267,13.05,12.7,12.7,12.7,12.7,12.7,12.7,12.667,12.75,12.683,12.7,12.7,12.65,12.75,12.783,12.633,12.117,11.983,11.983,12.033,13.133,1.45819594049974,1.45819594049974,1.45819594049974,1.43438118267751,1.39591118927236,1.39591118927236,1.39591118927236,1.39591118927236,1.39591118927236,1.39591118927236,1.39224738037663,1.40140690261595,1.3940792848245,1.39591118927236,1.39591118927236,1.39041547592877,1.40140690261595,1.40507071151168,1.38858357148091,1.33179453359712,1.31713929801421,1.31713929801421,1.3226350113578,1.44354070491683
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,11.7,11.7,11.7,10.817,10.817,10.817,10.817,10.817,10.8,10.9,10.8,10.767,10.8,10.833,10.7,10.733,10.85,10.917,10.9,11.1,10.95,10.95,10.917,10.817,1.32683148106146,1.32683148106146,1.32683148106146,1.22665759431465,1.22665759431465,1.22665759431465,1.22665759431465,1.22665759431465,1.22476752097981,1.23610796098888,1.22476752097981,1.22098737431012,1.22476752097981,1.2285476676495,1.21342708097074,1.21720722764043,1.23043774098435,1.23799803432373,1.23610796098888,1.25878884100703,1.24177818099342,1.24177818099342,1.23799803432373,1.22665759431465
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,18.167,18.167,18.183,15.033,14.983,15.0,15.0,14.933,14.75,14.883,14.9,14.85,14.833,14.983,14.933,14.933,15.117,15.2,15.167,15.283,15.033,15.033,15.017,15.017,1.56961004550429,1.56811969500791,1.57105005472035,1.2988883128852,1.29456828523702,1.29600829445308,1.29600829445308,1.29024825758884,1.27440815621219,1.28592822994067,1.28736823915673,1.28304821150855,1.28160820229249,1.29456828523702,1.29024825758884,1.29024825758884,1.30608835896549,1.31328840504579,1.31040838661367,1.32048845112608,1.2988883128852,1.2988883128852,1.29744830366914,1.29744830366914
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,12.433,12.433,12.433,10.867,10.867,10.867,10.867,10.867,10.717,10.717,10.833,10.867,10.833,10.9,10.717,10.883,11.067,10.983,11.05,10.933,10.933,10.933,10.933,10.867,1.24907909718036,1.24907909718036,1.24907909718036,1.09168843346058,1.09168843346058,1.09168843346058,1.09168843346058,1.09168843346058,1.07661911459379,1.07661911459379,1.08833969593463,1.09168843346058,1.08833969593463,1.09503717098653,1.07661911459379,1.09336280222356,1.1117808586163,1.10340901480142,1.11010648985332,1.09838590851249,1.09838590851249,1.09838590851249,1.09838590851249,1.09168843346058
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,14.25,14.25,14.25,12.683,12.333,12.333,12.333,12.333,12.467,12.333,12.333,12.533,12.4,12.317,12.133,12.467,12.283,12.433,12.383,11.433,11.4,11.333,11.517,12.767,2.0730288041897,2.0730288041897,2.0730288041897,1.84511686548346,1.79420036853845,1.79420036853845,1.79420036853845,1.79420036853845,1.81359712927941,1.79420036853845,1.79420036853845,1.82329550964988,1.80389874890893,1.79177577344583,1.76510522742701,1.81359712927941,1.78692658326059,1.80874793909417,1.80147415381631,1.66327223353699,1.65842304335176,1.64872466298128,1.67539520900009,1.85723984094656
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,8.933,8.933,8.933,7.25,7.25,7.25,7.25,7.25,7.333,7.383,7.25,7.283,7.267,7.25,7.05,7.35,7.2,7.333,7.35,7.217,7.167,7.1,7.2,7.25,1.8186753528773,1.8186753528773,1.8186753528773,1.47597719869706,1.47597719869706,1.47597719869706,1.47597719869706,1.47597719869706,1.4929424538545,1.50312160694896,1.47597719869706,1.48276330076004,1.47937024972855,1.47597719869706,1.43526058631921,1.49633550488599,1.4657980456026,1.4929424538545,1.49633550488599,1.46919109663409,1.45901194353963,1.44543973941368,1.4657980456026,1.47597719869706
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,15169.0,15.183,15.3,15.25,15.433,15.433,15.5,15.383,15.383,15.117,15.283,15.333,15.333,15.367,15.533,15.317,15.35,15.383,15.817,15.983,15.817,15.683,15.617,15.417,15.267,1.00094490957435,1.00863603401674,1.00533983782714,1.3709987859406,1.3709987859406,1.37692102691658,1.36655710520861,1.36655710520861,1.27084209051422,1.28485357993554,1.36211542447662,1.36211542447662,1.29185932464621,1.30587081406753,1.36063486423262,1.36359598472061,1.36655710520861,1.32969034608378,1.34370183550511,1.40505167155251,1.31848115454672,1.38728494862455,1.3695182256966,1.35619318350063
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,12.45,12.433,12.433,12.267,12.233,12.233,12.233,12.233,12.4,12.167,12.25,12.2,12.283,12.383,12.133,12.233,12.433,12.433,12.4,12.3,12.25,12.167,12.167,12.233,1.27757824525397,1.27586796647853,1.27586796647853,1.25876517872413,1.25534462117325,1.25534462117325,1.25534462117325,1.25534462117325,1.27244740892765,1.24850350607148,1.25705489994869,1.25192406362237,1.26047545749957,1.27073713015221,1.2450829485206,1.25534462117325,1.27586796647853,1.27586796647853,1.27244740892765,1.26218573627501,1.25705489994869,1.24850350607148,1.24850350607148,1.25534462117325
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,12.167,12.233,12.2,10.167,10.133,10.133,10.133,10.133,10.217,9.95,10.033,9.95,10.167,10.217,10.017,10.05,10.267,10.183,10.367,10.283,10.233,10.15,10.15,10.133,1.07975387528103,1.08567033487161,1.08271210507632,1.55763239875389,1.55252540728257,1.55252540728257,1.55252540728257,1.55252540728257,1.56529288596088,1.52443695419028,1.53720443286859,1.52443695419028,1.55763239875389,1.56529288596088,1.53465093713293,1.53975792860425,1.57295337316786,1.56018589448955,1.58827434758183,1.57550686890352,1.56784638169654,1.55507890301823,1.55507890301823,1.55252540728257
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2474.0,4.067,4.033,4.033,4.183,4.15,4.167,4.133,4.083,4.167,4.1,4.25,4.033,4.233,4.133,4.133,4.2,4.117,4.1,4.167,4.35,4.15,4.133,4.1,4.133,1.64376178927512,1.63028833198598,1.63028833198598,1.69091888978711,1.67744543249797,1.68418216114254,1.6707087038534,1.65049851791969,1.68418216114254,1.65723524656426,1.7178658043654,1.63028833198598,1.71112907572083,1.6707087038534,1.6707087038534,1.69765561843168,1.66397197520883,1.65723524656426,1.68418216114254,1.75828617623282,1.67744543249797,1.6707087038534,1.65723524656426,1.6707087038534
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,5569.0,8.75,8.6,8.833,8.35,8.25,8.3,8.283,8.317,8.15,8.117,8.333,8.683,8.433,8.367,8.267,8.533,8.367,8.4,8.517,8.433,8.317,8.233,8.2,8.333,1.57119770156221,1.54121863799283,1.58616148919614,1.49937152091937,1.48141497575866,1.49039324833901,1.48740049081223,1.4933860058658,1.4605734767025,1.45747291554438,1.49637876339259,1.55922667145507,1.5143353085533,1.50236427844616,1.48440773328544,1.53229185371401,1.50236427844616,1.50834979349973,1.52929909618722,1.5143353085533,1.4933860058658,1.47842221823187,1.4724367031783,1.49637876339259
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,8656.0,10.4,10.4,10.4,10.4,10.383,10.383,10.383,10.383,10.433,10.383,10.433,10.367,10.4,10.5,10.3,10.383,10.533,10.517,10.5,10.15,10.133,10.133,10.15,10.4,1.19981541301338,1.19981541301338,1.19981541301338,1.20147874306839,1.19955329636475,1.19955329636475,1.19955329636475,1.19955329636475,1.20532963647566,1.19955329636475,1.20532963647566,1.19762784966112,1.20147874306839,1.2130314232902,1.18992606284658,1.19955329636475,1.21688231669747,1.21495686999383,1.2130314232902,1.17259704251386,1.17067159581022,1.17067159581022,1.17259704251386,1.20147874306839
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4932.0,9.717,9.717,9.717,7.4,7.383,7.383,7.383,7.383,7.367,7.283,7.3,7.217,7.433,7.383,7.283,7.283,7.417,7.35,7.417,7.2,7.2,7.2,7.2,7.4,1.97012706136793,1.97012706136793,1.97012706136793,1.50651465798045,1.50312160694896,1.50312160694896,1.50312160694896,1.50312160694896,1.49972855591748,1.48276330076004,1.48615635179153,1.46919109663409,1.51330076004343,1.50312160694896,1.48276330076004,1.48276330076004,1.50990770901194,1.49633550488599,1.50990770901194,1.45985401459854,1.45985401459854,1.45985401459854,1.45985401459854,1.50651465798045
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,2896.0,7.1,7.1,7.1,7.783,7.433,7.433,7.433,7.433,7.433,7.4,7.4,7.517,7.383,7.433,7.4,7.383,7.4,7.467,7.433,6.5,6.417,6.433,6.517,7.867,2.48773651016117,2.48773651016117,2.48773651016117,2.68761510128913,2.56675874769797,2.56675874769797,2.56675874769797,2.56675874769797,2.56675874769797,2.55524861878453,2.55524861878453,2.59553406998158,2.5494935543278,2.56675874769797,2.55524861878453,2.5494935543278,2.55524861878453,2.57826887661141,2.56675874769797,2.24447513812154,2.21569981583793,2.22145488029465,2.25023020257826,2.71639042357274
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,6.53,10.833,10.7,10.983,10.1,10.033,10.067,10.067,10.1,9.767,9.95,10.033,10.183,9.9,10.117,10.067,9.917,10.067,10.133,10.267,10.317,9.817,9.683,9.767,10.05,1.65900969882593,1.63583549915914,1.68198060234813,1.54670750382848,1.53649821337417,1.54160285860132,1.54160285860132,1.54670750382848,1.49566105155691,1.52373660030627,1.53649821337417,1.55946911689637,1.51607963246554,1.54925982644206,1.54160285860132,1.51863195507912,1.54160285860132,1.55181214905564,1.57223072996426,1.579887697805,1.50331801939765,1.48289943848902,1.49566105155691,1.53905053598774
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,11328.0,15.15,15.167,15.167,14.867,14.867,14.867,14.85,14.75,14.783,14.867,14.833,14.917,14.817,14.9,14.75,14.917,15.2,14.883,15.4,15.033,15.483,14.85,14.9,14.867,1.33739406779661,1.33886534839924,1.33886534839924,1.31238229755178,1.31238229755178,1.31238229755178,1.31091101694915,1.30208333333333,1.3050258945386,1.31238229755178,1.30943973634651,1.31679613935969,1.30796845574387,1.31532485875706,1.30208333333333,1.31135531135531,1.33626373626373,1.31385357815442,1.35946327683615,1.32161172161172,1.36681967984934,1.31091101694915,1.31532485875706,1.31238229755178
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,11649.0,17.067,17.083,17.083,15.183,15.183,15.183,15.167,15.067,15.117,15.083,15.183,15.117,15.117,15.2,15.133,15.233,15.417,15.25,15.8,15.283,15.633,15.067,15.117,15.183,1.46507568603885,1.4665064240135,1.4665064240135,1.30340229490371,1.30340229490371,1.30340229490371,1.30197155692906,1.29338712908118,1.29767934300512,1.29481786705582,1.30340229490371,1.29767934300512,1.29767934300512,1.30483303287835,1.29911008097976,1.30243958048335,1.31811445508435,1.3091252468023,1.35633959996566,1.30671454628362,1.34203222021918,1.29338712908118,1.29767934300512,1.30340229490371
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3955.0,5.667,5.683,5.683,6.1,6.1,6.1,6.083,5.933,5.917,6.2,6.15,6.233,6.033,6.183,6.117,6.117,6.2,6.083,6.8,6.217,6.617,6.017,6.05,6.1,1.43278550358196,1.43699957859249,1.43699957859249,1.54235145385587,1.54235145385587,1.54235145385587,1.53813737884534,1.50021070375052,1.49599662873999,1.56763590391908,1.55499367888748,1.57606405394016,1.52549515381373,1.56342182890855,1.54656552886641,1.52840246543394,1.54922538730634,1.53813737884534,1.71934260429835,1.55338997168082,1.67298777918246,1.5212810788032,1.52970922882427,1.54235145385587
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,6274.0,9.133,9.133,9.133,9.617,9.583,9.583,9.55,9.333,9.283,9.65,9.717,9.65,9.617,9.617,9.6,9.633,9.717,9.533,10.217,9.767,10.117,9.5,9.5,9.583,1.45574327914143,1.45574327914143,1.45574327914143,1.53278078843906,1.52746785676336,1.52746785676336,1.52215492508766,1.48762086919562,1.47965147168207,1.53809372011475,1.54871958346615,1.53809372011475,1.53278078843906,1.53278078843906,1.53012432260121,1.52402046089753,1.53720402889838,1.51949845924981,1.62841355860163,1.54511416969888,1.61247476357454,1.51418552757411,1.51418552757411,1.52746785676336
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,8159.0,11.9,12.133,11.917,13.75,13.45,13.217,13.283,12.4,17.533,22.433,12.75,13.25,12.283,12.967,11.867,12.783,13.35,15.1,19.033,13.35,12.283,12.133,11.883,12.25,1.45851207255791,1.48711034849041,1.46055480655309,1.34120171673819,1.31193913382754,1.28917934711926,1.29568214332162,1.20952009364026,2.31554851206198,2.35100957171801,1.24365977370269,1.62397352616742,1.50549495444703,1.58924704824937,1.45442660456755,1.5667769743024,1.30218493952399,1.47288333983612,1.85654831577578,1.30218493952399,1.50549495444703,1.48711034849041,1.15912342307192,1.19488880218493
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,1517.0,3.517,3.567,3.55,3.35,3.417,3.417,3.4,3.417,3.417,3.333,3.267,3.25,3.4,3.4,3.283,3.367,2.983,3.317,3.35,3.75,3.667,3.467,3.417,3.317,2.31817183036695,2.3511316194243,2.34014502307185,2.20830586684245,2.25225225225225,2.25225225225225,2.2412656558998,2.25225225225225,2.25225225225225,2.19731927049,2.1533728850802,2.14238628872775,2.2412656558998,2.2412656558998,2.16435948143265,2.2192924631949,1.96660074708855,2.18633267413755,2.20830586684245,2.47198417930125,2.417051197539,2.2852120413096,2.25225225225225,2.18633267413755
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,8,"33.48147210659073,-7.652317932191367",33.48147210659073,-7.652317932191367,2346.0,5.4,5.45,5.433,5.117,5.117,5.117,5.1,5.117,5.117,5.033,4.95,4.95,5.1,5.1,4.983,5.067,4.917,5.15,5.1,5.617,5.533,5.367,5.283,5.083,2.30179028132992,2.3231031543052,2.31599886331344,2.18101733447002,2.18101733447002,2.18101733447002,2.17391304347826,2.18101733447002,2.18101733447002,2.14549587951122,2.10997442455242,2.10997442455242,2.17391304347826,2.17391304347826,2.12418300653594,2.15970446149474,2.09576584256891,2.19522591645353,2.17391304347826,2.39414606422279,2.35862460926399,2.2875816993464,2.25206024438761,2.1668087524865
Sidi Maarouf,20192,5,"33.48569462458445,-7.622633357283646167",33.48569462458445,-7.622633357283647,9,"33.49835474797786,-7.6507546447367645",33.49835474797786,-7.6507546447367645,3056.0,9.733,9.733,9.733,7.383,7.4,7.4,7.4,7.383,7.233,7.267,7.383,7.4,7.367,7.483,7.367,7.6,7.383,7.367,7.417,7.7,8.05,7.867,8.05,7.383,3.1849912739965,3.1849912739965,3.1849912739965,2.41601221640488,2.42146596858638,2.42146596858638,2.42146596858638,2.41601221640488,2.36692844677137,2.37783595113438,2.41601221640488,2.42146596858638,2.41055846422338,2.44873472949389,2.41055846422338,2.48691099476439,2.41601221640488,2.41055846422338,2.42691972076788,2.5196335078534,2.63416230366492,2.57417102966841,2.63416230366492,2.41601221640488
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,6039.0,7.533,7.35,7.2,8.267,8.233,8.267,8.25,7.717,8.15,8.033,7.7,8.0,8.033,8.05,7.7,7.733,9.0,8.25,10.95,11.017,7.85,7.383,7.2,7.183,1.24744714908649,1.21708892200695,1.19225037257824,1.36888005740464,1.36336037975382,1.36888005740464,1.36612021857923,1.27780537616603,1.55564038938728,1.53337150855761,1.27504553734061,1.32472263619804,1.33024231384887,1.33300215267428,1.27504553734061,1.28056521499144,1.4903129657228,1.574728001527,2.09009352929948,2.10281860405929,1.49837755296812,1.22260859965778,1.19225037257824,1.18949053375282
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,6854.0,9.417,9.2,9.05,10.233,10.25,10.3,10.267,9.7,10.333,10.817,9.667,9.933,10.033,10.05,9.733,9.8,10.983,11.133,14.133,14.017,10.05,9.433,9.217,9.1,1.37389359011769,1.34228187919463,1.32039684855558,1.49304542359692,1.49547709366793,1.50277210388094,1.49790876373893,1.41523198132477,1.50763544402295,1.63789622451039,1.41036864118276,1.44927536231884,1.46386538274486,1.46629705281587,1.42009532146678,1.4298220017508,1.60247057679214,1.68584696143751,2.14011710074702,2.045034529715,1.46629705281587,1.37632526018869,1.34471354926563,1.3276918587686
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,8,"33.48147210659073,-7.652317932191367",33.48147210659073,-7.652317932191367,7683.0,11.3,11.083,10.933,11.883,11.95,12.0,11.967,11.417,12.05,12.517,11.35,11.683,11.733,11.75,11.417,11.483,12.667,13.183,15.767,15.883,11.9,11.3,11.083,10.883,1.47077964336847,1.44257885374636,1.42305523016182,1.54670484619723,1.5553820122348,1.56188988676298,1.55755130374419,1.48596468393422,1.56839776129116,1.68393201488856,1.47728751789665,1.52067334808451,1.52718122261269,1.52935051412208,1.48596468393422,1.49464184997179,1.6486615471387,1.71590958392988,2.12117135297546,2.06733480845155,1.54887413770662,1.47077964336847,1.44257885374636,1.41654735563365
Sidi Maarouf,20192,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,9,"33.49835474797786,-7.6507546447367645",33.49835474797786,-7.6507546447367645,4943.0,11.583,11.5,11.567,11.9,11.9,11.9,11.883,11.6,11.8,11.583,11.333,11.867,11.783,11.617,11.45,11.467,12.367,11.6,14.417,14.6,11.533,11.417,11.717,11.65,2.34338121248904,2.32652235484523,2.34000944096028,2.4074448715355,2.4074448715355,2.4074448715355,2.40407310000674,2.3467529840178,2.38721424236293,2.34338121248904,2.29280463955762,2.40070132847798,2.38384247083417,2.35012475554656,2.31640704025895,2.31977881178771,2.50185447434081,2.3467529840178,2.91658237237844,2.95367185919482,2.33326589790275,2.30966349720142,2.37035538471913,2.35686829860408
