COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,10283.0,10283.0,10283.0,10433.0,10433.0,10433.0,10433.0,10433.0,10433.0,10.45,10483.0,10483.0,10.45,9633.0,10483.0,10433.0,10517.0,10.35,10467.0,10433.0,10367.0,10433.0,10483.0,10433.0,1.03308552675641,1.03308552675641,1.03308552675641,1.0481548456232,1.0481548456232,1.0481548456232,1.0481548456232,1.0481548456232,1.0481548456232,1.04982921438617,1.05317795191212,1.05317795191212,1.04982921438617,0.967785145000334,1.05317795191212,1.0481548456232,1.05652668943808,1.03978300180831,1.05150358314915,1.0481548456232,1.04145737057129,1.0481548456232,1.05317795191212,1.0481548456232
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,11983.0,11983.0,11983.0,12233.0,12.5,12.5,12.5,12.5,12.5,12.5,12517.0,12.55,12333.0,11567.0,12467.0,12417.0,12.55,12667.0,12.5,12.45,12517.0,12.8,12.45,12.5,1.31713929801421,1.31713929801421,1.31713929801421,1.34461786473217,1.37392833589799,1.37392833589799,1.37392833589799,1.37392833589799,1.37392833589799,1.37392833589799,1.37576024034586,1.37942404924159,1.35560929141935,1.27134168681761,1.37026452700227,1.36476881365867,1.37942404924159,1.39224738037663,1.37392833589799,1.3684326225544,1.37576024034586,1.40690261595955,1.3684326225544,1.37392833589799
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,10.95,10.95,10.95,10917.0,10917.0,10917.0,10917.0,10.9,10917.0,10917.0,11.1,10.95,10.9,10033.0,11.05,10867.0,10967.0,10883.0,11.0,10917.0,10933.0,10783.0,11033.0,10933.0,1.24177818099342,1.24177818099342,1.24177818099342,1.23799803432373,1.23799803432373,1.23799803432373,1.23799803432373,1.23610796098888,1.23799803432373,1.23799803432373,1.25878884100703,1.24177818099342,1.23610796098888,1.13782414757692,1.25311862100249,1.23232781431919,1.24366825432826,1.23421788765404,1.24744840099795,1.23799803432373,1.23988810765857,1.22287744764496,1.25122854766764,1.23988810765857
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,15017.0,15033.0,14967.0,14967.0,14967.0,14967.0,14967.0,14967.0,14867.0,14.85,14.9,15033.0,15017.0,14.1,15017.0,14767.0,14933.0,15283.0,15.25,15167.0,15.0,14.95,15033.0,14.95,1.29744830366914,1.2988883128852,1.29312827602096,1.29312827602096,1.29312827602096,1.29312827602096,1.29312827602096,1.29312827602096,1.28326859444684,1.28304821150855,1.28736823915673,1.2988883128852,1.29744830366914,1.21824779678589,1.29744830366914,1.27584816542825,1.29024825758884,1.32048845112608,1.31760843269396,1.31040838661367,1.29600829445308,1.2916882668049,1.2988883128852,1.2916882668049
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,10933.0,10933.0,10933.0,10.75,10.75,10.75,10.75,10.75,10.75,10633.0,10933.0,10.9,10783.0,10667.0,10933.0,10.8,10.8,10617.0,10.9,10.75,10683.0,10583.0,10867.0,11033.0,1.09838590851249,1.09838590851249,1.09838590851249,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.06824727077891,1.09838590851249,1.09503717098653,1.0833165896457,1.07159600830486,1.09838590851249,1.08499095840867,1.08499095840867,1.06657290201594,1.09503717098653,1.07996785211975,1.07327037706784,1.06322416448998,1.09168843346058,1.10843212109034
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,11433.0,11433.0,11433.0,11.8,12067.0,12067.0,12067.0,12067.0,12067.0,12067.0,11817.0,12017.0,11.85,11717.0,11.75,11.95,12067.0,12.2,12133.0,12117.0,12033.0,12583.0,11817.0,12067.0,1.66327223353699,1.66327223353699,1.66327223353699,1.71661332557462,1.75540684705654,1.75540684705654,1.75540684705654,1.75540684705654,1.75540684705654,1.75540684705654,1.71903792066724,1.74813306177868,1.72388711085248,1.70449035011153,1.70933954029677,1.7384346814082,1.75540684705654,1.77480360779749,1.76510522742701,1.7626806323344,1.7505576568713,1.83056929492774,1.71903792066724,1.75540684705654
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,7.2,7.2,7.2,7333.0,7333.0,7333.0,7333.0,7333.0,7317.0,7333.0,7.2,7333.0,7233.0,7.05,7.15,7283.0,7333.0,7233.0,7.35,7.35,7333.0,7.35,7217.0,7.35,1.4657980456026,1.4657980456026,1.4657980456026,1.4929424538545,1.4929424538545,1.4929424538545,1.4929424538545,1.4929424538545,1.48954940282301,1.4929424538545,1.4657980456026,1.4929424538545,1.47258414766558,1.43526058631921,1.45561889250814,1.48276330076004,1.4929424538545,1.47258414766558,1.49633550488599,1.49633550488599,1.4929424538545,1.49633550488599,1.46919109663409,1.49633550488599
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11257.0,15317.0,15.5,15617.0,15783.0,15783.0,15717.0,15783.0,15617.0,15.7,15517.0,15.15,15.45,15333.0,15317.0,15467.0,15583.0,15583.0,15917.0,16.1,15.95,15.75,15.3,15317.0,15583.0,1.36063486423262,1.37692102691658,1.31287655877819,1.32688804819952,1.32688804819952,1.39616831008853,1.32688804819952,1.38728494862455,1.39468774984454,1.3044696651254,1.34582926179266,1.37247934618459,1.36211542447662,1.28765587781981,1.37395990642859,1.31007426089393,1.38432382813656,1.33809723973658,1.35350987810004,1.34089953762084,1.32408575031525,1.36436597110754,1.36063486423262,1.38432382813656
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,12183.0,12167.0,12183.0,11.75,11767.0,11767.0,11767.0,11683.0,11733.0,11683.0,11767.0,11.75,11.85,12017.0,12267.0,12033.0,11783.0,12.05,12033.0,11933.0,11717.0,11833.0,11.85,11767.0,1.25021378484693,1.24850350607148,1.25021378484693,1.20574653668547,1.20745681546092,1.20745681546092,1.20745681546092,1.19890542158371,1.20403625791003,1.19890542158371,1.20745681546092,1.20574653668547,1.21600820933812,1.23311099709252,1.3482816736279,1.23482127586796,1.20916709423636,1.2365315546434,1.23482127586796,1.22455960321532,1.20232597913459,1.21429793056268,1.21600820933812,1.20745681546092
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,10167.0,10.15,10167.0,9983.0,10.0,10.0,10.0,9867.0,9917.0,9.9,9767.0,9833.0,9633.0,10.05,10267.0,10417.0,10.0,10.3,10.45,10.25,10083.0,9983.0,9933.0,10.0,1.55763239875389,1.55507890301823,1.55763239875389,1.52954394566161,1.53209744139727,1.53209744139727,1.53209744139727,1.51166947551197,1.51932996271896,1.5167764669833,1.496348501098,1.50656248404065,1.4759205352127,1.53975792860425,1.57295337316786,1.59593483478882,1.53209744139727,1.57806036463919,1.60104182626015,1.5703998774322,1.54486492007558,1.52954394566161,1.52188345845462,1.53209744139727
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2474.0,4167.0,4167.0,4167.0,3933.0,3.95,3.95,3.95,3933.0,3.85,3817.0,3817.0,3883.0,3933.0,3.95,4.25,4.2,4.15,4233.0,4.25,3967.0,3967.0,3833.0,3933.0,3933.0,1.68418216114254,1.68418216114254,1.68418216114254,1.58986796011856,1.59660468876313,1.59660468876313,1.59660468876313,1.58986796011856,1.55618431689571,1.54271085960657,1.54271085960657,1.56965777418485,1.58986796011856,1.59660468876313,1.7178658043654,1.69765561843168,1.67744543249797,1.71112907572083,1.7178658043654,1.6033414174077,1.6033414174077,1.54944758825114,1.58986796011856,1.58986796011856
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,5569.0,8.2,8167.0,8133.0,8.2,8217.0,8217.0,8217.0,8.2,8017.0,8067.0,8233.0,7983.0,8.3,8.45,8683.0,8467.0,8.4,8717.0,8.55,8.85,8267.0,8.35,8.3,8233.0,1.4724367031783,1.46645118812473,1.46046567307116,1.4724367031783,1.47542946070509,1.47542946070509,1.47542946070509,1.4724367031783,1.43667861409796,1.44849464296402,1.47842221823187,1.4335308553301,1.49039324833901,1.51732806608008,1.55922667145507,1.52032082360687,1.50834979349973,1.56521218650864,1.53528461124079,1.58007498660953,1.48440773328544,1.49937152091937,1.49039324833901,1.47842221823187
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,8656.0,10133.0,10133.0,10133.0,9967.0,9967.0,9967.0,9967.0,9967.0,10.0,9983.0,10.0,10.0,10.05,10067.0,9983.0,9933.0,10.0,10033.0,10117.0,9933.0,9.85,10067.0,9983.0,9967.0,1.17067159581022,1.17067159581022,1.17067159581022,1.15141712877387,1.15141712877387,1.15141712877387,1.15141712877387,1.15141712877387,1.15526802218114,1.15334257547751,1.15526802218114,1.15526802218114,1.16104436229205,1.16296980899568,1.15334257547751,1.1475662353666,1.15526802218114,1.15911891558841,1.16874614910659,1.1475662353666,1.13793900184842,1.16296980899568,1.15334257547751,1.15141712877387
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4932.0,7.2,7.2,7.2,7.25,7.25,7.25,7.25,7233.0,7217.0,7.25,7.15,7217.0,6.85,7.3,7.1,7.3,7.15,7217.0,7.55,7267.0,7233.0,7.4,7233.0,7.25,1.45985401459854,1.45985401459854,1.45985401459854,1.46999188969991,1.46999188969991,1.46999188969991,1.46999188969991,1.46661259799945,1.46323330629899,1.46999188969991,1.44971613949716,1.46323330629899,1.38888888888888,1.48012976480129,1.43957826439578,1.48012976480129,1.44971613949716,1.46323330629899,1.53081914030819,1.47337118140037,1.46661259799945,1.50040551500405,1.46661259799945,1.46999188969991
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,2896.0,6433.0,6433.0,6433.0,6.8,6.85,6.85,6.85,6.85,6.8,6817.0,6.6,6.7,6667.0,6767.0,6617.0,6.8,6817.0,6983.0,6.85,6.9,6.9,7083.0,6.65,6.85,2.22145488029465,2.22145488029465,2.22145488029465,2.11311373523927,2.3653314917127,2.3653314917127,2.3653314917127,2.3653314917127,2.34806629834254,2.35382136279926,2.27900552486187,2.34758234057463,2.33590282644242,2.33655616942909,2.2847605893186,2.34806629834254,2.35382136279926,2.44685821069843,2.3653314917127,2.38259668508287,2.4176594253679,2.48189675309507,2.33006306937631,2.3653314917127
