COMMUNE,ZIP code,index ,Coordinates Debut,Latitude Debut,Longitude Debut,index,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,10433.0,10433.0,10433.0,10667.0,10667.0,10667.0,10667.0,10667.0,10.75,10.5,10567.0,10767.0,10633.0,10.65,10833.0,10.5,10.65,10783.0,10.7,10.65,10667.0,10667.0,10633.0,10667.0,1.0481548456232,1.0481548456232,1.0481548456232,1.07159600830486,1.07159600830486,1.07159600830486,1.07159600830486,1.07159600830486,1.07996785211975,1.0548523206751,1.06154979572701,1.08164222088272,1.06824727077891,1.06992163954189,1.08833969593463,1.0548523206751,1.06992163954189,1.0833165896457,1.07494474583082,1.06992163954189,1.07159600830486,1.07159600830486,1.06824727077891,1.07159600830486
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,12.5,12.5,12.5,12417.0,12417.0,12417.0,12417.0,12417.0,12.55,12417.0,12.4,12417.0,12467.0,12417.0,12433.0,12217.0,12.45,12.45,12.4,12.45,12433.0,12417.0,12417.0,12417.0,1.37392833589799,1.37392833589799,1.37392833589799,1.36476881365867,1.36476881365867,1.36476881365867,1.36476881365867,1.36476881365867,1.37942404924159,1.36476881365867,1.36293690921081,1.36476881365867,1.37026452700227,1.36476881365867,1.36660071810654,1.34278596028431,1.3684326225544,1.3684326225544,1.36293690921081,1.3684326225544,1.36660071810654,1.36476881365867,1.36476881365867,1.36476881365867
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,10917.0,10917.0,10917.0,10967.0,10967.0,10967.0,10967.0,10967.0,10983.0,10933.0,10917.0,11.0,11.0,11.0,11167.0,10767.0,10967.0,11.25,11017.0,11067.0,10967.0,10967.0,10967.0,10967.0,1.23799803432373,1.23799803432373,1.23799803432373,1.24366825432826,1.24366825432826,1.24366825432826,1.24366825432826,1.24366825432826,1.24555832766311,1.23988810765857,1.23799803432373,1.24744840099795,1.24744840099795,1.24744840099795,1.26634913434641,1.22098737431012,1.24366825432826,1.27579950102063,1.2493384743328,1.25500869433734,1.24366825432826,1.24366825432826,1.24366825432826,1.24366825432826
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,14967.0,14967.0,14967.0,15.2,15.2,15.2,15183.0,15.2,15033.0,15167.0,15.15,14.9,15183.0,15117.0,15.1,14.75,15.15,15367.0,15533.0,15.55,15667.0,15.1,15.2,15.2,1.29312827602096,1.29312827602096,1.29312827602096,1.31328840504579,1.31328840504579,1.31328840504579,1.31184839582973,1.31328840504579,1.2988883128852,1.31040838661367,1.30896837739761,1.28736823915673,1.31184839582973,1.30608835896549,1.30464834974943,1.27440815621219,1.30896837739761,1.32768849720638,1.34208858936697,1.34352859858303,1.35360866309544,1.30464834974943,1.31328840504579,1.31328840504579
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.75,10.7,10767.0,10.35,10667.0,10.85,10.8,10667.0,10933.0,10867.0,10833.0,10767.0,10783.0,10733.0,10.4,10.75,10.75,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07996785211975,1.07494474583082,1.08164222088272,1.03978300180831,1.07159600830486,1.0900140646976,1.08499095840867,1.07159600830486,1.09838590851249,1.09168843346058,1.08833969593463,1.08164222088272,1.0833165896457,1.07829348335677,1.04480610809724,1.07996785211975,1.07996785211975
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,12067.0,12067.0,12067.0,11717.0,11717.0,11717.0,11717.0,11717.0,11.85,11.7,11683.0,11617.0,11.75,11683.0,11.55,11.7,11783.0,11633.0,11767.0,11.95,11817.0,11867.0,11.75,11.7,1.75540684705654,1.75540684705654,1.75540684705654,1.70449035011153,1.70449035011153,1.70449035011153,1.70449035011153,1.70449035011153,1.72388711085248,1.70206575501891,1.69964115992629,1.68994277955581,1.70933954029677,1.69964115992629,1.68024439918533,1.70206575501891,1.714188730482,1.69236737464843,1.71176413538939,1.7384346814082,1.71903792066724,1.7263117059451,1.70933954029677,1.70206575501891
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,7333.0,7333.0,7333.0,7.2,7.2,7.2,7.2,7.2,7.15,7.2,7167.0,7.1,7217.0,7167.0,7083.0,7283.0,7.25,7.1,7.3,7.4,7283.0,7.35,7.2,7.2,1.4929424538545,1.4929424538545,1.4929424538545,1.4657980456026,1.4657980456026,1.4657980456026,1.4657980456026,1.4657980456026,1.45561889250814,1.4657980456026,1.45901194353963,1.44543973941368,1.46919109663409,1.45901194353963,1.44204668838219,1.48276330076004,1.47597719869706,1.44543973941368,1.48615635179153,1.50651465798045,1.48276330076004,1.49633550488599,1.4657980456026,1.4657980456026
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,15169.0,15.4,15733.0,15783.0,15.5,15.5,15483.0,15467.0,15.2,15433.0,15.35,15333.0,15.5,15483.0,15433.0,15.35,15467.0,15.3,15.65,16.05,15833.0,15533.0,15.6,15333.0,15.1,1.01522842639593,1.39764887033253,1.32688804819952,1.37692102691658,1.37692102691658,1.37544046667258,1.37395990642859,1.35027094252465,1.3709987859406,1.36359598472061,1.36211542447662,1.37692102691658,1.37544046667258,1.3709987859406,1.36359598472061,1.37395990642859,1.35915430398862,1.48256915498294,1.42577951496846,1.40653223179651,1.37988214740457,1.31147540983606,1.36211542447662,1.34138758106067
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,11767.0,11767.0,11767.0,11.9,11.9,11867.0,11.9,11883.0,11983.0,11833.0,11983.0,11.85,12.0,11.9,11.85,12.0,11883.0,12033.0,12167.0,12.95,11983.0,11.9,11833.0,11917.0,1.20745681546092,1.20745681546092,1.20745681546092,1.22113904566444,1.22113904566444,1.21771848811356,1.22113904566444,1.219428766889,1.22969043954164,1.21429793056268,1.22969043954164,1.21600820933812,1.23140071831708,1.22113904566444,1.21600820933812,1.23140071831708,1.219428766889,1.23482127586796,1.24850350607148,1.42338975599032,1.22969043954164,1.22113904566444,1.21429793056268,1.22284932443988
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,10.0,10.0,10.0,9.95,9.95,9.9,9.95,9933.0,10.0,9783.0,9983.0,9.95,9967.0,9.9,9917.0,9867.0,9983.0,10083.0,10.15,9983.0,10067.0,9.95,9967.0,9967.0,1.53209744139727,1.53209744139727,1.53209744139727,1.52443695419028,1.52443695419028,1.5167764669833,1.52443695419028,1.52188345845462,1.53209744139727,1.49890199683366,1.52954394566161,1.52443695419028,1.52699044992594,1.5167764669833,1.51932996271896,1.51166947551197,1.52954394566161,1.54486492007558,1.55507890301823,1.52954394566161,1.54231142433992,1.52443695419028,1.52699044992594,1.52699044992594
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2474.0,3933.0,3.95,3.95,4.1,4.1,4.1,4.1,4067.0,4033.0,4083.0,4.05,3917.0,4067.0,4067.0,4067.0,4117.0,4067.0,4283.0,4.15,4233.0,4.0,4.1,4.1,3983.0,1.58986796011856,1.59660468876313,1.59660468876313,1.65723524656426,1.65723524656426,1.65723524656426,1.65723524656426,1.64376178927512,1.63028833198598,1.65049851791969,1.63702506063055,1.58313123147399,1.64376178927512,1.64376178927512,1.64376178927512,1.66397197520883,1.64376178927512,1.73133926165454,1.67744543249797,1.71112907572083,1.61681487469684,1.65723524656426,1.65723524656426,1.61007814605227
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,5569.0,8.2,8217.0,8217.0,8483.0,8483.0,8483.0,8.4,8467.0,8.25,8467.0,8.4,8383.0,8.65,8583.0,8.55,8.45,8617.0,8867.0,8867.0,8867.0,9417.0,8.25,8383.0,8433.0,1.4724367031783,1.47542946070509,1.47542946070509,1.52331358113365,1.52331358113365,1.52331358113365,1.50834979349973,1.52032082360687,1.48141497575866,1.52032082360687,1.50834979349973,1.50535703597294,1.5532411564015,1.54127012629436,1.53528461124079,1.51732806608008,1.54725564134793,1.59214700424971,1.59214700424971,1.59214700424971,1.69090800263362,1.48141497575866,1.50535703597294,1.5143353085533
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,8656.0,10.0,9967.0,9967.0,10.1,10.1,10067.0,10.1,10.1,10.2,10117.0,10167.0,10.05,10.15,10167.0,9833.0,10.15,9867.0,10183.0,9983.0,11.35,10067.0,10.1,10.05,10.1,1.15526802218114,1.15141712877387,1.15141712877387,1.16682070240295,1.16682070240295,1.16296980899568,1.16682070240295,1.16682070240295,1.17837338262476,1.16874614910659,1.17452248921749,1.16104436229205,1.17259704251386,1.17452248921749,1.13601355514479,1.17259704251386,1.13828641747423,1.17644793592113,1.15174588524842,1.3112292051756,1.16296980899568,1.16682070240295,1.16104436229205,1.16682070240295
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4932.0,7.25,7.25,7.25,7.3,7.3,7.3,7.3,7.3,7333.0,7267.0,7.35,7217.0,7233.0,7.35,7133.0,6883.0,7333.0,7017.0,7217.0,7.3,7283.0,7.3,7.3,7.3,1.46999188969991,1.46999188969991,1.46999188969991,1.48615635179153,1.48615635179153,1.48615635179153,1.48615635179153,1.48615635179153,1.4929424538545,1.47937024972855,1.49633550488599,1.46919109663409,1.47258414766558,1.49633550488599,1.4463368477967,1.3956474722898,1.4929424538545,1.42847448425624,1.46323330629899,1.48615635179153,1.48276330076004,1.48615635179153,1.48615635179153,1.48615635179153
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,2896.0,6.85,6.85,6.85,6867.0,6867.0,6567.0,6867.0,6867.0,7067.0,6867.0,6833.0,6867.0,6883.0,6883.0,6833.0,6633.0,6967.0,6917.0,7583.0,7.25,6867.0,6883.0,6.9,6867.0,2.3653314917127,2.3653314917127,2.3653314917127,2.40597991123569,2.40597991123569,2.30086428404578,2.40597991123569,2.40597991123569,2.47605699602896,2.40597991123569,2.39430039710348,2.13383053656515,2.41181966830179,2.13900973689662,2.39430039710348,2.3242233123102,2.44101845363232,2.42349918243401,2.65708946507825,2.54029432375613,2.40597991123569,2.13900973689662,2.4176594253679,2.40597991123569
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,6.53,10.0,10.0,10.0,10.2,10.2,10.2,10117.0,10.2,10133.0,10133.0,10.0,10283.0,10167.0,10767.0,10083.0,10033.0,10.25,10533.0,10667.0,10483.0,11.05,10067.0,10.05,10.15,1.53139356814701,1.53139356814701,1.53139356814701,1.56202143950995,1.56202143950995,1.56202143950995,1.54925982644206,1.56202143950995,1.55181214905564,1.55181214905564,1.53139356814701,1.57478305257784,1.55691679428279,1.64880040837161,1.5441551812149,1.53649821337417,1.56967840735068,1.61306789178152,1.63348647269014,1.60541092394078,1.69218989280245,1.54160285860132,1.53905053598774,1.55436447166921
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,11328.0,14817.0,14867.0,14817.0,14317.0,14317.0,14317.0,14267.0,14267.0,14583.0,14433.0,14267.0,14.35,15067.0,14317.0,14383.0,14.4,14367.0,14567.0,14.5,14.35,14233.0,14.3,14317.0,14183.0,1.30796845574387,1.31238229755178,1.30796845574387,1.26383003766478,1.26383003766478,1.26383003766478,1.25941619585687,1.25941619585687,1.28737052730696,1.27412900188323,1.25941619585687,1.26677259887005,1.33003766478342,1.26383003766478,1.26971516007532,1.27118644067796,1.26824387947269,1.28589924670433,1.28001412429378,1.26677259887005,1.2564736346516,1.26235875706214,1.26383003766478,1.25205979284369
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,11649.0,15583.0,15633.0,15583.0,15183.0,15183.0,15183.0,15133.0,15133.0,15533.0,15133.0,15067.0,15333.0,15.9,15117.0,15.2,15233.0,15.25,15.35,15367.0,15167.0,15117.0,15167.0,15.15,15.05,1.33774000629524,1.34203222021918,1.33774000629524,1.30340229490371,1.30340229490371,1.30340229490371,1.29911008097976,1.29911008097976,1.3334477923713,1.29911008097976,1.29338712908118,1.31627893667553,1.36492402781354,1.29767934300512,1.30483303287835,1.30769450882765,1.3091252468023,1.31770967465018,1.31914041262483,1.30197155692906,1.29767934300512,1.30197155692906,1.30054081895441,1.29195639110653
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3955.0,6.1,6.2,6.15,5.8,5.8,5.8,5.65,5683.0,6.0,5817.0,5783.0,5.8,6.6,5.9,6183.0,6.0,5.95,5.8,6183.0,5833.0,5733.0,5733.0,5.75,5733.0,1.54235145385587,1.56763590391908,1.55499367888748,1.46649810366624,1.46649810366624,1.46649810366624,1.42857142857142,1.43699957859249,1.51706700379266,1.47071217867678,1.46228402865571,1.46649810366624,1.66877370417193,1.49178255372945,1.56342182890855,1.51706700379266,1.50442477876106,1.46649810366624,1.56342182890855,1.47492625368731,1.4496418036241,1.4496418036241,1.45385587863463,1.4496418036241
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,6274.0,9467.0,9583.0,9533.0,9.25,9.25,9.25,9.1,9.1,9.4,9267.0,9183.0,9083.0,10117.0,9333.0,9633.0,9467.0,9367.0,9.25,9817.0,9483.0,9167.0,9.15,9233.0,9.15,1.50887259589841,1.52746785676336,1.51949845924981,1.47433854000637,1.47433854000637,1.47433854000637,1.45043034746573,1.45043034746573,1.49824673254701,1.47699500584422,1.46371267665497,1.44777388162788,1.61247476357454,1.48762086919562,1.53543725427691,1.50887259589841,1.49293380087132,1.47433854000637,1.56465837849325,1.51152906173626,1.46105621081712,1.45839974497927,1.47168207416852,1.45839974497927
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,6,"33.52566603266665,-7.636924760146013",33.52566603266665,-7.636924760146013,8159.0,12533.0,11.8,13633.0,13.4,13283.0,13.35,12617.0,12367.0,13733.0,14517.0,12867.0,12.7,13183.0,13217.0,12.75,13733.0,12.95,15417.0,14867.0,14167.0,12717.0,12.15,12333.0,11.9,1.53613596437471,1.15099492781896,1.32982182338405,1.30706203667577,1.29568214332162,1.30218493952399,1.23065418129795,1.20626869553908,1.81369959499911,1.91715090684979,1.5769906442783,1.55656330432651,1.6158025901867,1.28917934711926,1.56269150631204,1.3395760176876,1.58720431425419,2.036009860891,1.45012355312784,1.38184419300299,1.55860603832168,1.48915308248559,1.51162315643256,1.16074912212251
Sidi Maarouf,20192,5,"33.48569462458445,-7.633357283646167",33.48569462458445,-7.633357283646167,7,"33.48716086847907,-7.641582183521106",33.48716086847907,-7.641582183521106,1517.0,3433.0,3417.0,3633.0,3467.0,3467.0,3467.0,3467.0,3133.0,3417.0,3333.0,3517.0,3467.0,3467.0,3433.0,3283.0,3333.0,3367.0,3383.0,3.7,3783.0,3.65,3383.0,3333.0,3267.0,2.2632388486047,2.25225225225225,2.3950780048341,2.2852120413096,2.2852120413096,2.2852120413096,2.2852120413096,2.0654801142606,2.25225225225225,2.19731927049,2.31817183036695,2.2852120413096,2.2852120413096,2.2632388486047,2.16435948143265,2.19731927049,2.2192924631949,2.23027905954735,2.4390243902439,2.49395737200615,2.40606460118655,2.23027905954735,2.19731927049,2.1533728850802
