COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,10333.0,10333.0,10333.0,10783.0,10783.0,10783.0,10783.0,10783.0,10783.0,10783.0,10.65,10.55,10667.0,10767.0,10917.0,10783.0,10767.0,10717.0,10717.0,10.65,10767.0,10683.0,10783.0,10783.0,1.03810863304534,1.03810863304534,1.03810863304534,1.0833165896457,1.0833165896457,1.0833165896457,1.0833165896457,1.0833165896457,1.0833165896457,1.0833165896457,1.06992163954189,1.05987542696403,1.07159600830486,1.08164222088272,1.09671153974951,1.0833165896457,1.08164222088272,1.07661911459379,1.07661911459379,1.06992163954189,1.08164222088272,1.07327037706784,1.0833165896457,1.0833165896457
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,12283.0,12283.0,12283.0,12933.0,12917.0,12.85,12.85,12.85,12.85,12.85,12.85,12.6,12917.0,12.85,12.85,12817.0,12867.0,12883.0,12.75,12783.0,12783.0,12.75,12.85,12.85,1.35011357807576,1.35011357807576,1.35011357807576,1.42155785154246,1.41972594709459,1.41239832930314,1.41239832930314,1.41239832930314,1.41239832930314,1.41239832930314,1.41239832930314,1.38491976258518,1.41972594709459,1.41239832930314,1.41239832930314,1.40873452040741,1.414230233751,1.41606213819887,1.40140690261595,1.40507071151168,1.40507071151168,1.40140690261595,1.41239832930314,1.41239832930314
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,10567.0,10567.0,10567.0,10817.0,10883.0,10817.0,10817.0,10817.0,10817.0,10817.0,10817.0,10.5,10767.0,10.8,10883.0,10783.0,10.85,10883.0,10817.0,10883.0,10717.0,10.7,10817.0,10817.0,1.19830649429197,1.19830649429197,1.19830649429197,1.22665759431465,1.23421788765404,1.22665759431465,1.22665759431465,1.22665759431465,1.22665759431465,1.22665759431465,1.22665759431465,1.19074620095259,1.22098737431012,1.22476752097981,1.23421788765404,1.22287744764496,1.23043774098435,1.23421788765404,1.22665759431465,1.23421788765404,1.21531715430558,1.21342708097074,1.22665759431465,1.22665759431465
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,14933.0,14917.0,14917.0,15433.0,15417.0,15433.0,15433.0,15.4,15317.0,15333.0,15417.0,15.2,15.65,15.5,15.35,15.4,15633.0,15.5,15583.0,15567.0,15367.0,15283.0,15317.0,15417.0,1.29024825758884,1.28880824837278,1.28880824837278,1.33344853407061,1.33200852485455,1.33344853407061,1.33344853407061,1.3305685156385,1.3233684695582,1.32480847877426,1.33200852485455,1.31328840504579,1.35216865387938,1.33920857093485,1.32624848799032,1.3305685156385,1.35072864466332,1.33920857093485,1.34640861701514,1.34496860779908,1.32768849720638,1.32048845112608,1.3233684695582,1.33200852485455
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,10667.0,10667.0,10667.0,11.25,11.25,11.25,11.25,11.25,11233.0,11233.0,11133.0,11217.0,11233.0,11.25,11033.0,11.1,11.2,11367.0,11.4,11617.0,11333.0,11.05,11.25,11.25,1.07159600830486,1.07159600830486,1.07159600830486,1.13019891500904,1.13019891500904,1.13019891500904,1.13019891500904,1.13019891500904,1.12852454624606,1.12852454624606,1.1184783336682,1.12685017748308,1.12852454624606,1.13019891500904,1.10843212109034,1.11512959614225,1.12517580872011,1.14191949634987,1.14526823387582,1.16703502779452,1.13857075882392,1.11010648985332,1.13019891500904,1.13019891500904
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,11983.0,11983.0,11983.0,12733.0,12.65,12.65,12.65,12.65,12.65,12667.0,12.65,12683.0,12767.0,12.6,12617.0,12.45,12583.0,12567.0,12.75,12883.0,12.75,12.7,12.65,12.65,1.74328387159344,1.74328387159344,1.74328387159344,1.85239065076132,1.84026767529822,1.84026767529822,1.84026767529822,1.84026767529822,1.84026767529822,1.84269227039084,1.84026767529822,1.84511686548346,1.85723984094656,1.83299389002036,1.83541848511298,1.81117253418679,1.83056929492774,1.82814469983512,1.85481524585394,1.87421200659489,1.85481524585394,1.84754146057608,1.84026767529822,1.84026767529822
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,7.2,7.2,7.2,7.5,7.5,7.5,7.5,7.5,7.5,7517.0,7.5,7.5,7.5,7467.0,7483.0,7.3,7517.0,7483.0,7583.0,7.55,7567.0,7.5,7.5,7.5,1.4657980456026,1.4657980456026,1.4657980456026,1.52687296416938,1.52687296416938,1.52687296416938,1.52687296416938,1.52687296416938,1.52687296416938,1.53026601520086,1.52687296416938,1.52687296416938,1.52687296416938,1.5200868621064,1.52347991313789,1.48615635179153,1.53026601520086,1.52347991313789,1.54383821932681,1.53705211726384,1.54044516829533,1.52687296416938,1.52687296416938,1.52687296416938
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11257.0,15.15,15317.0,15.35,15067.0,15317.0,15383.0,15317.0,15.3,15317.0,15117.0,15333.0,15433.0,15333.0,15967.0,16217.0,15233.0,15267.0,15767.0,16.5,15833.0,15533.0,15517.0,15.2,15.15,1.34582926179266,1.36063486423262,1.36359598472061,1.34355864692943,1.36585220854883,1.37179715831401,1.36585220854883,1.36436597110754,1.36585220854883,1.34801735925331,1.36733844599013,1.37625587063789,1.36733844599013,1.42381546875928,1.36331792069496,1.35842102134236,1.36139349622495,1.40598061946376,1.38713745271122,1.41192556922894,1.38517329528565,1.38368705784436,1.35544854645978,1.3509898341359
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,11.75,11817.0,11.8,12.1,12.1,12.1,12.1,12.1,12083.0,12.0,12017.0,12033.0,12.75,12433.0,11983.0,11867.0,11867.0,11.9,12283.0,12183.0,12.25,11883.0,12.05,12.1,1.20574653668547,1.21258765178724,1.2108773730118,1.24166239096972,1.24166239096972,1.24166239096972,1.24166239096972,1.24166239096972,1.23995211219428,1.23140071831708,1.23311099709252,1.23482127586796,1.40140690261595,1.27586796647853,1.22969043954164,1.21771848811356,1.21771848811356,1.22113904566444,1.26047545749957,1.25021378484693,1.25705489994869,1.219428766889,1.2365315546434,1.24166239096972
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,9783.0,9.85,9833.0,10083.0,10083.0,10083.0,10083.0,10083.0,10083.0,10033.0,10.0,9933.0,11.0,10.25,10167.0,10117.0,10033.0,10117.0,10033.0,10133.0,10167.0,9917.0,10033.0,10083.0,1.49890199683366,1.50911597977631,1.50656248404065,1.54486492007558,1.54486492007558,1.54486492007558,1.54486492007558,1.54486492007558,1.54486492007558,1.53720443286859,1.53209744139727,1.52188345845462,1.685307185537,1.5703998774322,1.55763239875389,1.5499719115469,1.53720443286859,1.5499719115469,1.53720443286859,1.55252540728257,1.55763239875389,1.51932996271896,1.53720443286859,1.54486492007558
