COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at 4,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,10783.0,10783.0,10783.0,12583.0,12583.0,12583.0,12583.0,12583.0,12583.0,12583.0,12583.0,12.45,12.45,12.4,12233.0,12483.0,12.6,13267.0,13483.0,13567.0,12133.0,11.9,12583.0,12167.0,1.0833165896457,1.0833165896457,1.0833165896457,1.26414841604715,1.26414841604715,1.26414841604715,1.26414841604715,1.26414841604715,1.26414841604715,1.26414841604715,1.26414841604715,1.25075346594333,1.25075346594333,1.24573035965441,1.22898667202464,1.25410220346929,1.26582278481012,1.33279753532918,1.35456432924787,1.36293617306275,1.21894045944678,1.19549929676511,1.26414841604715,1.22228919697274
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,12.85,12.85,12.85,13267.0,13267.0,13267.0,13267.0,13267.0,13267.0,13267.0,13267.0,13.2,13.3,13267.0,13.25,13233.0,13.1,13.25,13.2,13567.0,13.2,13267.0,13267.0,13.4,1.41239832930314,1.41239832930314,1.41239832930314,1.45819594049974,1.45819594049974,1.45819594049974,1.45819594049974,1.45819594049974,1.45819594049974,1.45819594049974,1.45819594049974,1.45086832270828,1.46185974939547,1.45819594049974,1.45636403605187,1.45453213160401,1.4398768960211,1.45636403605187,1.45086832270828,1.49117022056129,1.45086832270828,1.45819594049974,1.45819594049974,1.47285117608265
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,10783.0,10817.0,10817.0,11.7,11.7,11.7,11.7,11.7,11.7,11683.0,11.7,11617.0,11717.0,11.55,11583.0,11517.0,11267.0,11.3,11.55,12833.0,11.6,11.7,11.7,11867.0,1.22287744764496,1.22665759431465,1.22665759431465,1.32683148106146,1.32683148106146,1.32683148106146,1.32683148106146,1.32683148106146,1.32683148106146,1.32494140772661,1.32683148106146,1.31738111438723,1.32872155439631,1.30982082104785,1.31360096771754,1.30604067437816,1.27768957435548,1.28146972102517,1.30982082104785,1.45535646783095,1.31549104105239,1.32683148106146,1.32683148106146,1.34573221440991
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,15417.0,15333.0,15433.0,18183.0,18183.0,18183.0,18183.0,18183.0,18183.0,18167.0,17933.0,17.9,17.5,17.5,17217.0,16283.0,17.3,17.0,19333.0,18283.0,17783.0,17.9,18.0,17.0,1.33200852485455,1.32480847877426,1.33344853407061,1.57105005472035,1.57105005472035,1.57105005472035,1.57105005472035,1.57105005472035,1.57105005472035,1.56961004550429,1.54944991647946,1.54656989804734,1.51200967686193,1.51200967686193,1.48752952018892,1.40688900408962,1.49472956626922,1.46880940038016,1.60402666002931,1.51552829354553,1.53503093080132,1.54656989804734,1.55373327578765,1.46880940038016
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,11.25,11.25,11.25,12433.0,12433.0,12433.0,12433.0,12433.0,12.4,12233.0,11867.0,12017.0,12.1,12.15,12117.0,12.3,12583.0,12183.0,12833.0,12517.0,12567.0,12317.0,12433.0,12067.0,1.13019891500904,1.13019891500904,1.13019891500904,1.24907909718036,1.24907909718036,1.24907909718036,1.24907909718036,1.24907909718036,1.24573035965441,1.22898667202464,1.19215055923916,1.20721987810595,1.21559172192083,1.22061482820976,1.21726609068381,1.23568414707655,1.26414841604715,1.22396356573571,1.28926394749179,1.25745094099524,1.26247404728417,1.23735851583952,1.24907909718036,1.21224298439488
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,12.65,12.65,12.65,14.25,14.25,14.25,14.25,14.25,14.25,14217.0,14067.0,14283.0,13983.0,14217.0,14.1,14217.0,14283.0,14117.0,14383.0,14417.0,14333.0,14167.0,14.25,14083.0,1.84026767529822,1.84026767529822,1.84026767529822,2.0730288041897,2.0730288041897,2.0730288041897,2.0730288041897,2.0730288041897,2.0730288041897,2.06817961400446,1.57345264727815,2.07787799437493,1.56413124533929,2.06817961400446,2.05120744835612,2.06817961400446,2.07787799437493,1.57904548844146,2.09242556493065,2.09727475511589,2.08515177965279,2.0609058287266,2.0730288041897,2.0487828532635
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,7.5,7.5,7.5,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8933.0,8917.0,8933.0,8917.0,8883.0,8933.0,9.0,9033.0,9017.0,8.75,8983.0,8817.0,8933.0,8.95,1.52687296416938,1.52687296416938,1.52687296416938,1.8186753528773,1.8186753528773,1.8186753528773,1.8186753528773,1.8186753528773,1.8186753528773,1.8186753528773,1.8186753528773,1.81528230184582,1.8186753528773,1.81528230184582,1.80849619978284,1.8186753528773,1.83224755700325,1.83903365906623,1.83564060803474,1.78135179153094,1.82885450597176,1.79492399565689,1.8186753528773,1.82206840390879
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11214.0,15.4,15083.0,15.35,15.75,15.8,15867.0,15833.0,15867.0,15567.0,15.25,15583.0,15667.0,15867.0,15733.0,15783.0,15867.0,16.05,16.2,16867.0,16783.0,16733.0,17.55,15717.0,15717.0,1.3732833957553,1.34504488437072,1.36882468343142,1.03830179972311,1.04159799591271,1.04599292416551,1.04379546003911,1.04599292416551,1.02621574702792,1.00533983782714,1.02731447909112,1.03280813940712,1.4094933522845,1.03720306765992,1.04049926384951,1.04599292416551,1.0580789768607,1.06796756542949,1.11191684795745,1.4909241657043,1.48648248497231,1.55902993692813,1.39616831008853,1.03610433559672
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,12.05,12.1,12.1,12367.0,12433.0,12317.0,12467.0,12383.0,12.35,12.1,11917.0,12017.0,12367.0,12267.0,12367.0,12.45,12.45,12.5,12467.0,12467.0,12783.0,12467.0,12.35,12.3,1.2365315546434,1.24166239096972,1.24166239096972,1.26902685137677,1.27586796647853,1.26389601505045,1.27928852402941,1.27073713015221,1.26731657260133,1.24166239096972,1.22284932443988,1.23311099709252,1.26902685137677,1.25876517872413,1.26902685137677,1.27757824525397,1.27757824525397,1.28270908158029,1.27928852402941,1.27928852402941,1.31178382076278,1.27928852402941,1.26731657260133,1.26218573627501
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,10033.0,10083.0,10083.0,12167.0,12.4,12133.0,12467.0,12.15,12267.0,12017.0,12033.0,12233.0,10817.0,12.25,12233.0,12.6,12.85,12.55,12.8,11667.0,12.55,11917.0,12083.0,12133.0,1.53720443286859,1.54486492007558,1.54486492007558,1.07975387528103,1.10046148384806,1.07679564548574,1.10637794343864,1.07827476038338,1.0886285646669,1.06644184120222,1.06792095609986,1.08567033487161,1.65721873244471,1.08714944976925,1.08567033487161,1.1182108626198,1.14039758608448,1.11377351792687,1.9610847249885,1.78744701496348,1.11377351792687,1.05756715181635,1.0723583007928,1.07679564548574
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2474.0,4117.0,4.15,4.15,3967.0,4017.0,3.95,4.05,4017.0,3967.0,4.0,3867.0,3967.0,4033.0,4017.0,4033.0,4233.0,4.15,4.15,4033.0,4367.0,4217.0,4.0,3967.0,4167.0,1.66397197520883,1.67744543249797,1.67744543249797,1.6033414174077,1.62355160334141,1.59660468876313,1.63702506063055,1.62355160334141,1.6033414174077,1.61681487469684,1.56292104554028,1.6033414174077,1.63028833198598,1.62355160334141,1.63028833198598,1.71112907572083,1.67744543249797,1.67744543249797,1.63028833198598,1.76502290487739,1.70439234707625,1.61681487469684,1.6033414174077,1.68418216114254
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,5569.0,8583.0,8.3,8.5,8767.0,8817.0,8767.0,8.85,8817.0,8783.0,8683.0,8517.0,8517.0,8.6,8533.0,8.7,8583.0,8583.0,9033.0,8467.0,10.1,9.35,8717.0,8667.0,8.5,1.54127012629436,1.49039324833901,1.52630633866044,1.574190459089,1.58316873166936,1.574190459089,1.58915424672293,1.58316873166936,1.57718321661578,1.55922667145507,1.52929909618722,1.52929909618722,1.54426288382115,1.53229185371401,1.56221942898186,1.54127012629436,1.54127012629436,1.62207457951756,1.52032082360687,1.8100358422939,1.67562724014336,1.56521218650864,1.55623391392829,1.52630633866044
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,8643.0,10267.0,10267.0,10267.0,10333.0,10.4,10.4,10.4,10.4,10367.0,10133.0,10017.0,10133.0,10.4,10.3,10383.0,10.25,10333.0,10.25,10383.0,10433.0,10617.0,10.4,10.4,10317.0,1.18785915384318,1.18785915384318,1.18785915384318,1.19212428857098,1.19981541301338,1.19981541301338,1.19981541301338,1.19981541301338,1.19596985079218,1.1690509152438,1.15559144746962,1.1690509152438,1.19981541301338,1.18827872634979,1.19789263190278,1.18251038301799,1.19212428857098,1.18251038301799,1.19789263190278,1.20366097523457,1.22481156745116,1.19981541301338,1.19981541301338,1.19020150746039
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4932.0,7.55,7517.0,7517.0,9717.0,9717.0,9717.0,9717.0,9.7,9717.0,9617.0,9717.0,9433.0,7.6,9533.0,9833.0,9783.0,9833.0,10583.0,9967.0,8.35,9.7,9.65,9717.0,11.45,1.53081914030819,1.52406055690727,1.52406055690727,1.97012706136793,1.97012706136793,1.97012706136793,1.97012706136793,1.96674776966747,1.97012706136793,1.94985131116517,1.97012706136793,1.91267910246012,1.54095701540956,1.93295485266288,1.99378210327115,1.98364422816977,1.99378210327115,2.14585022979183,2.02081643687483,1.69302514193025,1.96674776966747,1.95660989456609,1.97012706136793,2.32157339821573
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,2854.0,6933.0,6933.0,6933.0,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.2,7083.0,7133.0,7.1,7017.0,7.2,7167.0,7167.0,7.1,7233.0,7367.0,7083.0,7.1,7.15,2.42933893950011,2.42933893950011,2.42933893950011,2.48773651016117,2.48773651016117,2.48773651016117,2.48773651016117,2.48773651016117,2.48773651016117,2.48773651016117,2.52277505255781,2.48189675309507,2.49941602429338,2.48773651016117,2.45853772483064,2.52277505255781,2.5110955384256,2.5110955384256,2.48773651016117,2.53445456669002,2.58117262321887,2.48189675309507,2.48773651016117,2.50525578135949
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,6.53,10.25,9983.0,10.25,10983.0,10.95,10983.0,10983.0,10983.0,10983.0,10833.0,10667.0,10.65,10667.0,10.65,10733.0,10233.0,10.45,10.55,10683.0,12.95,11717.0,10.8,10767.0,10567.0,1.56967840735068,1.52884124553343,1.56967840735068,1.68198060234813,1.67687595712098,1.68198060234813,1.68198060234813,1.68198060234813,1.68198060234813,1.65900969882593,1.63348647269014,1.63093415007657,1.63348647269014,1.63093415007657,1.64369576314446,1.56712608473711,1.60030627871362,1.61562021439509,1.63603879530372,1.97981959944962,1.79126535188299,1.65390505359877,1.64880040837161,1.61817253700867
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,11328.0,14733.0,14783.0,14783.0,15167.0,15167.0,15.15,15.15,15167.0,15.1,14967.0,14.75,14017.0,15.2,15167.0,15.0,15.0,15417.0,15483.0,15.95,15.25,15.4,15167.0,15117.0,15433.0,1.30061205273069,1.3050258945386,1.3050258945386,1.33886534839924,1.33886534839924,1.33739406779661,1.33739406779661,1.33886534839924,1.3329802259887,1.3212099811676,1.30208333333333,1.23734698681732,1.33626373626373,1.33886534839924,1.32415254237288,1.32415254237288,1.36093455743879,1.36681967984934,1.40801553672316,1.34622175141242,1.35946327683615,1.33886534839924,1.33445150659133,1.35677655677655
Echchallalate,28822,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,10327.0,15.25,15617.0,15617.0,17083.0,17083.0,17067.0,17067.0,17083.0,17.05,17.0,17017.0,16733.0,16983.0,17167.0,16.75,17133.0,17333.0,17533.0,17833.0,17883.0,16733.0,16.4,17033.0,16.85,1.47671153287498,1.34060148224454,1.34060148224454,1.4665064240135,1.4665064240135,1.46507568603885,1.46507568603885,1.4665064240135,1.46364494806421,1.45935273414026,1.46078347211491,1.43646092654591,1.45206338349293,1.47366011388674,1.43789166452056,1.47079863793744,1.48796749363321,1.16361383948323,1.72686485265162,1.53518184679657,1.43646092654591,1.40784616705296,1.46221421008956,1.4406634746922
