COMMUNE,ZIP code,index,Coordinates Debut,Latitude Debut,Longitude Debut,index.1,Coordinates Fin,Latitude Fin,Longitude Fin,Distance en KM,TRT (min) at 0,TRT (min) at 1,TRT (min) at 2,TRT (min) at 3,TRT (min) at 4,TRT (min) at 5,TRT (min) at 6,TRT (min) at 7,TRT (min) at 8,TRT (min) at 9,TRT (min) at 10,TRT (min) at 11,TRT (min) at 12,TRT (min) at 13,TRT (min) at 14,TRT (min) at 15,TRT (min) at 16,TRT (min) at 17,TRT (min) at 18,TRT (min) at 19,TRT (min) at 20,TRT (min) at 21,TRT (min) at 22,TRT (min) at 23,TTI (min) at 0,TTI (min) at 1,TTI (min) at 2,TTI (min) at 3,TTI (min) at ,TTI (min) at 5,TTI (min) at 6,TTI (min) at 7,TTI (min) at 8,TTI (min) at 9,TTI (min) at 10,TTI (min) at 11,TTI (min) at 12,TTI (min) at 13,TTI (min) at 14,TTI (min) at 15,TTI (min) at 16,TTI (min) at 17,TTI (min) at 18,TTI (min) at 19,TTI (min) at 20,TTI (min) at 21,TTI (min) at 22,TTI (min) at 23
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,9954.0,10417.0,10417.0,10417.0,10.35,10.35,10.35,10.35,10.35,10.35,10267.0,10233.0,10383.0,10483.0,10.35,10.35,10.35,10467.0,10333.0,10433.0,10.4,10.0,10433.0,10.35,10233.0,1.04648047686022,1.04648047686022,1.04648047686022,1.03978300180831,1.03978300180831,1.03978300180831,1.03978300180831,1.03978300180831,1.03978300180831,1.03141115799343,1.02806242046748,1.04313173933427,1.05317795191212,1.03978300180831,1.03978300180831,1.03978300180831,1.05150358314915,1.03810863304534,1.0481548456232,1.04480610809724,1.00462125778581,1.0481548456232,1.03978300180831,1.02806242046748
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,9098.0,12233.0,12233.0,12233.0,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12267.0,12433.0,12967.0,12.3,12.25,12.25,12.25,12317.0,12367.0,12.35,12183.0,12783.0,12217.0,12.25,1.34461786473217,1.34461786473217,1.34461786473217,1.34644976918003,1.34644976918003,1.34644976918003,1.34644976918003,1.34644976918003,1.34644976918003,1.34644976918003,1.3482816736279,1.36660071810654,1.42522166043819,1.35194548252363,1.34644976918003,1.34644976918003,1.34644976918003,1.35377738697149,1.35927310031508,1.35744119586722,1.33912215138858,1.40507071151168,1.34278596028431,1.34644976918003
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,8818.0,11.2,11.2,11.2,10783.0,10783.0,10783.0,10783.0,10.75,10767.0,10783.0,10833.0,10817.0,10.75,10717.0,10817.0,10783.0,10.55,10767.0,11.1,10.85,10633.0,10733.0,10.6,10783.0,1.2701292810161,1.2701292810161,1.2701292810161,1.22287744764496,1.22287744764496,1.22287744764496,1.22287744764496,1.21909730097527,1.22098737431012,1.22287744764496,1.2285476676495,1.22665759431465,1.21909730097527,1.21531715430558,1.22665759431465,1.22287744764496,1.19641642095713,1.22098737431012,1.25878884100703,1.23043774098435,1.20586678763136,1.21720722764043,1.20208664096166,1.22287744764496
Echchallalate,28822,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11574.0,15.2,15233.0,15233.0,15.1,15067.0,15067.0,15067.0,15067.0,14.95,15.0,15033.0,15117.0,15067.0,15233.0,14.8,15.0,14967.0,15.15,15483.0,15967.0,15267.0,15.15,15.05,15217.0,1.31328840504579,1.31616842347791,1.31616842347791,1.30464834974943,1.30176833131732,1.30176833131732,1.30176833131732,1.30176833131732,1.2916882668049,1.29600829445308,1.2988883128852,1.30608835896549,1.30176833131732,1.31616842347791,1.27872818386037,1.29600829445308,1.29312827602096,1.30896837739761,1.33776856171879,1.3795288289845,1.31904844191002,1.30896837739761,1.30032832210126,1.31472841426185
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9954.0,10883.0,10883.0,10883.0,10733.0,10733.0,10733.0,10733.0,10.9,10767.0,10733.0,10.75,10717.0,10.45,10.8,10717.0,10533.0,10833.0,10.85,10817.0,10867.0,10733.0,10.5,10733.0,10733.0,1.09336280222356,1.09336280222356,1.09336280222356,1.07829348335677,1.07829348335677,1.07829348335677,1.07829348335677,1.09503717098653,1.08164222088272,1.07829348335677,1.07996785211975,1.07661911459379,1.04982921438617,1.08499095840867,1.07661911459379,1.05820105820105,1.08833969593463,1.0900140646976,1.08666532717165,1.09168843346058,1.07829348335677,1.0548523206751,1.07829348335677,1.07829348335677
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,6874.0,11583.0,11583.0,11583.0,12.1,12.1,12.1,12.1,12.1,12117.0,12083.0,12.0,12.4,12.65,11983.0,11983.0,12033.0,12.1,12783.0,12183.0,12117.0,12.1,12183.0,12067.0,12.1,1.68509358937057,1.68509358937057,1.68509358937057,1.76025603724178,1.76025603724178,1.76025603724178,1.76025603724178,1.76025603724178,1.7626806323344,1.75783144214916,1.74570846668606,1.80389874890893,1.84026767529822,1.74328387159344,1.74328387159344,1.7505576568713,1.76025603724178,1.42990305741983,1.77237901270487,1.7626806323344,1.76025603724178,1.77237901270487,1.75540684705654,1.76025603724178
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4912.0,7367.0,7367.0,7367.0,7333.0,7333.0,7333.0,7333.0,7333.0,7.35,7333.0,7283.0,7467.0,7067.0,7283.0,7233.0,7317.0,7317.0,8583.0,7483.0,7367.0,7333.0,7067.0,7333.0,7333.0,1.49972855591748,1.49972855591748,1.49972855591748,1.4929424538545,1.4929424538545,1.4929424538545,1.4929424538545,1.4929424538545,1.49633550488599,1.4929424538545,1.48276330076004,1.5200868621064,1.4386536373507,1.48276330076004,1.47258414766558,1.48954940282301,1.48954940282301,1.74742128121606,1.52347991313789,1.49972855591748,1.4929424538545,1.4386536373507,1.4929424538545,1.4929424538545
Echchallalate,28822,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,11257.0,15133.0,15.3,15333.0,15517.0,15.5,15467.0,15.45,15417.0,15367.0,15817.0,15383.0,15.35,15133.0,15533.0,14883.0,15267.0,15367.0,15817.0,15733.0,16217.0,15917.0,15217.0,15483.0,15117.0,1.34434870154866,1.35915430398862,1.36211542447662,1.37840158716058,1.37692102691658,1.37395990642859,1.37247934618459,1.3695182256966,1.36507654496461,1.32969034608378,1.36655710520861,1.36359598472061,1.34434870154866,1.37988214740457,1.32214029788872,1.35619318350063,1.36507654496461,1.40505167155251,1.39764887033253,1.44058511740842,1.41393503301649,1.35175150276864,1.37544046667258,1.34286814130466
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,9745.0,12117.0,12167.0,12167.0,11983.0,11983.0,11983.0,11983.0,11883.0,12183.0,11.85,11867.0,11967.0,12.0,11967.0,11.95,11767.0,11967.0,11.8,11917.0,12367.0,12133.0,11667.0,11867.0,11883.0,1.24337266974516,1.24850350607148,1.24850350607148,1.22969043954164,1.22969043954164,1.22969043954164,1.22969043954164,1.219428766889,1.25021378484693,1.21600820933812,1.21771848811356,1.2279801607662,1.23140071831708,1.2279801607662,1.22626988199076,1.20745681546092,1.2279801607662,1.2108773730118,1.22284932443988,1.26902685137677,1.2450829485206,1.19719514280827,1.21771848811356,1.219428766889
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,6527.0,10.05,10067.0,10067.0,9867.0,9867.0,9867.0,9867.0,9.5,10117.0,9767.0,9.8,9.75,9733.0,9.85,9.95,9.85,10.3,9583.0,9983.0,10.2,10.0,9633.0,9833.0,9733.0,1.53975792860425,1.54231142433992,1.54231142433992,1.51166947551197,1.51166947551197,1.51166947551197,1.51166947551197,1.4554925693274,1.5499719115469,1.496348501098,1.50145549256932,1.49379500536234,1.49124150962667,1.50911597977631,1.52443695419028,1.50911597977631,1.57806036463919,1.46826004800572,1.52954394566161,1.56273939022521,1.53209744139727,1.4759205352127,1.50656248404065,1.49124150962667
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2474.0,3883.0,4017.0,4017.0,4317.0,4317.0,4317.0,4317.0,4217.0,3933.0,4167.0,4083.0,4167.0,4.2,4317.0,4167.0,4233.0,3733.0,3833.0,4317.0,4467.0,4267.0,3967.0,4.1,4133.0,1.56965777418485,1.62355160334141,1.62355160334141,1.74481271894368,1.74481271894368,1.74481271894368,1.74481271894368,1.70439234707625,1.58986796011856,1.68418216114254,1.65049851791969,1.68418216114254,1.69765561843168,1.74481271894368,1.68418216114254,1.71112907572083,1.50902721638372,1.54944758825114,1.74481271894368,1.93781634128705,1.72460253300997,1.6033414174077,1.65723524656426,1.6707087038534
Echchallalate,28822,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,5569.0,8417.0,8483.0,8467.0,8.55,8517.0,8517.0,8517.0,8317.0,8.25,8.4,8483.0,8.45,8467.0,8.7,8.4,8367.0,8433.0,8617.0,8.8,9617.0,8.85,8367.0,8467.0,8617.0,1.51134255102651,1.52331358113365,1.52032082360687,1.53528461124079,1.52929909618722,1.52929909618722,1.52929909618722,1.4933860058658,1.48141497575866,1.50834979349973,1.52331358113365,1.51732806608008,1.51732377538829,1.55913978494623,1.50834979349973,1.50236427844616,1.5143353085533,1.54725564134793,1.58017597414257,1.72682109295504,1.58915424672293,1.50236427844616,1.52032082360687,1.54725564134793
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,0,"33.56968640878232,-7.395306348809435",33.56968640878232,-7.395306348809435,8572.0,10033.0,10033.0,10033.0,10.1,9967.0,9967.0,9967.0,10117.0,9967.0,9917.0,9967.0,9983.0,10017.0,9.9,10.0,9767.0,9967.0,9983.0,9883.0,10.05,9967.0,9667.0,9883.0,9.95,1.17047752372064,1.17047752372064,1.17047752372064,1.16682070240295,1.15141712877387,1.15141712877387,1.15141712877387,1.16874614910659,1.15141712877387,1.14564078866296,1.15141712877387,1.15334257547751,1.15719346888478,1.14371534195933,1.15526802218114,1.12831176833025,1.15141712877387,1.15334257547751,1.14178989525569,1.16104436229205,1.15141712877387,1.11675908810844,1.14178989525569,1.14949168207024
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,1,"33.64792053315948,-7.408108582535458",33.64792053315948,-7.408108582535458,4932.0,7417.0,7417.0,7417.0,7017.0,7017.0,7017.0,7017.0,7.0,7083.0,7.0,7.15,7167.0,7133.0,7067.0,7067.0,7033.0,7033.0,7.1,7083.0,7017.0,6983.0,7.1,7017.0,6983.0,1.50378480670451,1.50378480670451,1.50378480670451,1.42268180589348,1.42268180589348,1.42268180589348,1.42268180589348,1.41930251419302,1.43619897269532,1.41930251419302,1.45561889250814,1.45901194353963,1.45222584147665,1.43281968099486,1.43281968099486,1.42606109759394,1.42606109759394,1.43957826439578,1.43619897269532,1.42268180589348,1.41592322249256,1.44543973941368,1.42268180589348,1.41592322249256
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,2,"33.615365940406214,-7.458959071198275",33.615365940406214,-7.458959071198275,2854.0,6.4,6.4,6.4,6983.0,6883.0,6883.0,6883.0,6883.0,6883.0,6883.0,6833.0,7033.0,7.6,6.8,6883.0,7.0,6.85,6967.0,6883.0,6883.0,6.9,7117.0,6883.0,6633.0,2.24246671338472,2.24246671338472,2.24246671338472,2.44685821069843,2.37684162062615,2.37684162062615,2.37684162062615,2.37684162062615,2.37684162062615,2.37684162062615,2.35957642725598,2.42863720073664,2.66292922214435,2.11311373523927,2.37684162062615,2.4171270718232,2.3653314917127,2.40561694290976,2.37684162062615,2.37684162062615,2.38259668508287,2.21151854153718,2.37684162062615,2.29051565377532
Echchallalate,28822,3,"33.62789799357488,-7.44403942378749",33.62789799357488,-7.44403942378749,4,"33.601050398663844,-7.4844428526403695",33.601050398663844,-7.4844428526403695,6.53,9.95,10117.0,10.05,10083.0,10.05,10.05,10.05,9917.0,9883.0,10033.0,10083.0,10.1,10117.0,10.25,9.9,9.9,9883.0,10.25,10533.0,11017.0,10.35,9783.0,10017.0,10183.0,1.52373660030627,1.54925982644206,1.53905053598774,1.5441551812149,1.53905053598774,1.53905053598774,1.53905053598774,1.51863195507912,1.51352730985196,1.53649821337417,1.5441551812149,1.54670750382848,1.54665443612087,1.56703867910105,1.51607963246554,1.51607963246554,1.51352730985196,1.56967840735068,1.61306789178152,1.68708524757529,1.58499234303215,1.49821337417049,1.53394589076059,1.55946911689637
