Route,Latitude Debut,Longitude Debut,Latitude Fin,Longitude Fin,route_id
"33.57,-7.395 → 33.648,-7.408",33.56968640878232,-7.395306348809435,33.64792053315948,-7.408108582535458,0
"33.57,-7.395 → 33.615,-7.459",33.56968640878232,-7.395306348809435,33.615365940406214,-7.458959071198275,1
"33.57,-7.395 → 33.628,-7.444",33.56968640878232,-7.395306348809435,33.62789799357488,-7.44403942378749,2
"33.57,-7.395 → 33.601,-7.484",33.56968640878232,-7.395306348809435,33.601050398663844,-7.4844428526403695,3
"33.648,-7.408 → 33.57,-7.395",33.64792053315948,-7.408108582535458,33.56968640878232,-7.395306348809435,4
"33.648,-7.408 → 33.615,-7.459",33.64792053315948,-7.408108582535458,33.615365940406214,-7.458959071198275,5
"33.648,-7.408 → 33.628,-7.444",33.64792053315948,-7.408108582535458,33.62789799357488,-7.44403942378749,6
"33.648,-7.408 → 33.601,-7.484",33.64792053315948,-7.408108582535458,33.601050398663844,-7.4844428526403695,7
"33.615,-7.459 → 33.57,-7.395",33.615365940406214,-7.458959071198275,33.56968640878232,-7.395306348809435,8
"33.615,-7.459 → 33.648,-7.408",33.615365940406214,-7.458959071198275,33.64792053315948,-7.408108582535458,9
"33.615,-7.459 → 33.628,-7.444",33.615365940406214,-7.458959071198275,33.62789799357488,-7.44403942378749,10
"33.615,-7.459 → 33.601,-7.484",33.615365940406214,-7.458959071198275,33.601050398663844,-7.4844428526403695,11
"33.628,-7.444 → 33.57,-7.395",33.62789799357488,-7.44403942378749,33.56968640878232,-7.395306348809435,12
"33.628,-7.444 → 33.648,-7.408",33.62789799357488,-7.44403942378749,33.64792053315948,-7.408108582535458,13
"33.628,-7.444 → 33.615,-7.459",33.62789799357488,-7.44403942378749,33.615365940406214,-7.458959071198275,14
"33.628,-7.444 → 33.601,-7.484",33.62789799357488,-7.44403942378749,33.601050398663844,-7.4844428526403695,15
"33.601,-7.484 → 33.57,-7.395",33.601050398663844,-7.4844428526403695,33.56968640878232,-7.395306348809435,16
"33.601,-7.484 → 33.648,-7.408",33.601050398663844,-7.4844428526403695,33.64792053315948,-7.408108582535458,17
"33.601,-7.484 → 33.615,-7.459",33.601050398663844,-7.4844428526403695,33.615365940406214,-7.458959071198275,18
"33.601,-7.484 → 33.628,-7.444",33.601050398663844,-7.4844428526403695,33.62789799357488,-7.44403942378749,19
"33.486,-7.633 → 33.526,-7.637",33.48569462458445,-7.633357283646167,33.52566603266665,-7.636924760146013,20
"33.486,-7.633 → 33.487,-7.642",33.48569462458445,-7.633357283646167,33.48716086847907,-7.641582183521106,21
"33.486,-7.633 → 33.481,-7.652",33.48569462458445,-7.633357283646167,33.48147210659073,-7.652317932191367,22
"33.486,-7.623 → 33.498,-7.651",33.48569462458445,-7.622633357283647,33.49835474797786,-7.6507546447367645,23
